,index,jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
8763,8763,高级.NET工程师/架构师,".net,数据库,c#,html,架构设计,架构师,.netcore,员工旅游,定期体检,年终奖金,绩效奖金,补充医疗保险,专业培训,五险一金,弹性工作,餐饮补贴,交通补贴",辽宁省大连高新园区,5-7年,大专,大连隆基信息技术有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,16000,26000
8764,8764,Python,"mysql,数据库,数据分析,linux,css,redis,js,数据建模,python,五险一金,年终奖金,股票期权",辽宁省大连,3-4年,本科,智捷融汇（大连）科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,17000
8765,8765,PHP开发工程师,"vue,php,app开发,五险一金,补充医疗保险,免费班车,专业培训,年终奖金,弹性工作,定期体检,带薪年假,扁平化管理,通讯补贴",辽宁省大连高新园区,3-4年,本科,大连和众信拓科技有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,16250,22500
8766,8766,上位机软件工程师,"计算机,vue,开发,plc,c#,.net,功能开发,传感器,测试文档,低压电器,交通补贴,六险一金,餐饮补贴,年终奖金,定期体检,项目奖,生日福利,节假日福利",辽宁省沈阳铁西区,3-4年,本科,中科芯微智能装备（沈阳）有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6705/6704914/216174047614604579540_300.png?1676361409753,6000,10000
8767,8767,iOS开发工程师,"五险一金,员工旅游,专业培训,出国机会,绩效奖金,年终奖金,股票期权,定期体检",辽宁省沈阳五里河南湖公园,3-4年,大专,沈阳每利科技股份有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5235/5234214/5234214_300.png?636735573648501338,7583,9750
8768,8768,高级软件工程师,"五险一金,员工旅游,绩效奖金,午餐,周末双休,做五休二",辽宁省沈阳浑南区,8-9年,本科,辽宁中新自动控制集团股份有限公司,已上市,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_instrumentation.png,8000,12000
8769,8769,.NET开发工程师,".net,C#,软件开发,软件工程师,.NET,开发,软件,c#,五险一金,弹性工作,年终奖金",辽宁省沈阳大东区,3-4年,本科,延科信息科技（上海）有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,5000,10000
8770,8770,PHP全栈工程师,"uniapp,mysql,redis,消息队列,五险一金,餐饮补贴",辽宁省沈阳和平区,5-7年,本科,中锦（辽宁）养老产业股份有限公司,民营,500-1000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_healthcare.png,6000,7000
8771,8771,Web前端开发工程师,"计算机,jquery,css,javascript,vue,ajax,html5,it,php,Bootstrap,专业培训,年终奖金,弹性工作",东省珠海,3-4年,本科,西安易新网络科技有限公司,民营,少于50人,https://img01.51jobcdn.com/fansImg/CompLogo/9/8182/8181728/113495046084998488016_300.png?1696676103258,8000,12000
8772,8772,Android研发工程师,"餐饮补贴,交通补贴,年度免费体检,周末双休,节日福利,五险一金,住房补贴",云南省昆明西山区,3-4年,本科,云南红岭云科技股份有限公司,国企,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2961/2960221/2960221_120.gif?636038592792680677,10000,15000
8773,8773,C#中级软件工程师,"css,c#,五险一金,定期体检,餐饮补贴,员工旅游,交通补贴,年终奖金,绩效奖金,弹性工作",云南省昆明西山区,3-4年,大专,云南边锋信息技术有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_imnetwork.png,10833,16250
8774,8774,.NET,"mysql,oracle,数据库,jquery,测试,css,html,javascript,redis,sql,五险一金,定期体检,餐饮补贴,员工旅游,交通补贴,年终奖金,绩效奖金,弹性工作",云南省昆明西山区,3-4年,大专,云南边锋信息技术有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_imnetwork.png,8000,13000
